Week,Bush,Bush_Obama,Obama1,Obama_Obama,Obama2,Obama_Trump,Trump,Trump_
1,4.79,-22.48,-1.81,-87.57,499.26,2.38,-37.78,-35.9
2,-51.99,89.18,14.08,-20.15,-21.04,4.26,1.73,12.72
3,17.07,-19.01,13.04,12.61,-2.75,4.49,9.36,5.95
4,-1.56,17.27,13.2,2.93,23.75,-0.43,-11.67,7.25
5,0.07,-12.19,5.94,-22.06,4.89,-14.07,-1.19,5.95
6,-1.63,-1.17,5.04,2.97,3.82,16.95,3.26,3.66
7,-6.63,-1.21,14.34,5.56,-6.69,12.45,11.17,-1.53
8,-6.61,1.8,18.01,-1.08,14.84,7.69,2.31,2.73
9,-11.18,12.84,-0.75,0.29,-0.05,5.46,2.75,-0.05
10,-2.43,-0.92,3.14,2.99,-0.86,8.56,-1.57,9.15
11,8.95,-10.27,2.19,3.61,2.23,2.13,-0.35,-2.14
12,-4.13,-1.93,15.8,3.92,2,4.02,9.05,-23.85
13,-3.82,-3.94,0.9,-0.54,-1.96,-2.96,9.08,-36.56
14,-7.55,-3.16,10.68,0.34,-8.37,14.05,14.53,-33.75
15,-4.17,2.45,11.74,-0.19,1.16,3.86,1.68,-21.45
16,-2.82,5.18,3.78,-2.36,3.84,3.48,0.51,-20.13
17,1.56,0.61,-8.53,15.89,7.81,5.02,-7.71,-10.45
18,-0.51,-5.97,-42.6,74.64,-6.04,12.3,0.27,-9.77
19,-2.84,-2.23,0.19,5.33,0.3,6.4,-1.92,-2.28
20,-2.18,-0.22,-3.71,7.79,6.15,1.1,-4.31,0.98
21,-0.78,-1.08,-0.32,1.59,-15.55,37.81,-0.5,7.85
22,3.05,-5.23,-3.9,2.88,32.67,-17.47,-3.49,20.99
23,3.66,1.48,10.35,-7.02,-0.41,12.63,-0.33,6.96
24,2.45,-6.27,12.5,-7.15,1.89,5.96,-4.54,24.72
25,-4.18,-4.98,13.52,-8.22,4.89,1.64,-3.36,31.8
26,0.61,-5.82,7.59,-2.14,1.29,-34.41,-2.17,52.98
27,2.67,-20.7,6.59,-0.98,-7.24,30.49,-6.53,127.37
28,10.19,-0.92,1.04,0.34,23.98,8.8,-5.05,78.66
29,-4.28,-3.25,2.74,-4.75,7.74,4.42,2.29,91.16
30,2.71,-6.02,4.67,-2.77,7.28,2.07,-6.53,84.18
31,-2.36,1.5,6.06,-2.66,3.26,6.07,-6.31,83.21
32,10.21,-9.77,0.77,-1.88,6.31,4.77,-1.71,75.06
33,0.43,13.8,6.67,-3.81,4.26,8.27,-1.71,68.93
34,-4.81,-1.24,-1.43,-1.08,3.16,7,2.61,54.25
35,-3.01,-3.76,-2.82,0.13,4.64,2.39,-0.38,62.06
36,1.79,-5.77,-2.37,-17.77,5.28,6.93,-6.23,93.57
37,-5.69,10.32,0.67,-7.34,1.93,10.37,-0.36,24.21
38,2.32,-2.39,2.79,11.18,6.2,7.46,4.12,45.15
39,25.69,-22.87,-3.42,3.81,5.53,5.07,1.99,44.18
40,9.42,-12.45,-11.83,12.64,4.05,2.66,5.39,39.91
41,10.14,-15.34,3.56,-0.46,-5.98,-0.4,12.7,38.91
42,13.94,4.29,-4.15,1.48,27.22,-2.54,-4.61,43.73
43,12.72,-24.18,-4,0.19,8.74,1.49,0.92,37.91
44,9.3,-10.04,-0.67,-0.55,-0.71,2.38,1.88,38.54
45,8.13,-10.82,-0.76,-9.19,-0.77,8.05,8.95,30.65
46,33.63,-11.45,-12.53,11.15,14.94,0.79,-0.21,38.72
47,-16.72,-3.63,9.01,-21.86,-21.35,11.42,27.61,33.03
48,-6.42,31.56,3.34,6.89,21.63,14.72,-20.33,37.5
49,5.21,-36.08,-0.75,-11.79,17.95,8.45,-3.15,
50,5.26,-12.4,-3.39,-7.77,5.51,10.86,-0.9,
51,2.1,-8.64,25.54,-21.73,-17.06,30.39,0.77,
52,-18.37,-16.34,33.64,92.41,-51.24,31.85,39.74,
