Week,Non_Election_Diff,Election_Diff
1,4.79,-22.48
2,-51.99,89.18
3,17.07,-19.01
4,-1.56,17.27
5,0.07,-12.19
6,-1.63,-1.17
7,-6.63,-1.21
8,-6.61,1.8
9,-11.18,12.84
10,-2.43,-0.92
11,8.95,-10.27
12,-4.13,-1.93
13,-3.82,-3.94
14,-7.55,-3.16
15,-4.17,2.45
16,-2.82,5.18
17,1.56,0.61
18,-0.51,-5.97
19,-2.84,-2.23
20,-2.18,-0.22
21,-0.78,-1.08
22,3.05,-5.23
23,3.66,1.48
24,2.45,-6.27
25,-4.18,-4.98
26,0.61,-5.82
27,2.67,-20.7
28,10.19,-0.92
29,-4.28,-3.25
30,2.71,-6.02
31,-2.36,1.5
32,10.21,-9.77
33,0.43,13.8
34,-4.81,-1.24
35,-3.01,-3.76
36,1.79,-5.77
37,-5.69,10.32
38,2.32,-2.39
39,25.69,-22.87
40,9.42,-12.45
41,10.14,-15.34
42,13.94,4.29
43,12.72,-24.18
44,9.3,-10.04
45,8.13,-10.82
46,33.63,-11.45
47,-16.72,-3.63
48,-6.42,31.56
49,5.21,-36.08
50,5.26,-12.4
51,2.1,-8.64
52,-18.37,-16.34
1,-0.09,-87.57
2,64.03,-20.15
3,-10.93,12.61
4,-20.58,2.93
5,-0.26,-22.06
6,-13.46,2.97
7,-10.53,5.56
8,-11.84,-1.08
9,2.54,0.29
10,-13.4,2.99
11,-10.7,3.61
12,-9.31,3.92
13,-6.31,-0.54
14,-5.84,0.34
15,-15.09,-0.19
16,-11.48,-2.36
17,-9.06,15.89
18,-5.59,74.64
19,-11.74,5.33
20,-9.08,7.79
21,-9.16,1.59
22,-23.3,2.88
23,14.95,-7.02
24,-7.45,-7.15
25,-4.04,-8.22
26,-5.19,-2.14
27,-6.12,-0.98
28,21.46,0.34
29,-3.91,-4.75
30,-6.37,-2.77
31,-5.71,-2.66
32,-7.97,-1.88
33,-22.65,-3.81
34,-3.21,-1.08
35,-0.34,0.13
36,-1.11,-17.77
37,-5.57,-7.34
38,-6.78,11.18
39,-2.12,3.81
40,-7.12,12.64
41,-0.06,-0.46
42,-11.6,1.48
43,18.84,0.19
44,0.09,-0.55
45,2.26,-9.19
46,-3.23,11.15
47,5.97,-21.86
48,-29.2,6.89
49,42.3,-11.79
50,5.83,-7.77
51,0.63,-21.73
52,-28.43,92.41
1,-7.2,2.38
2,-0.69,4.26
3,-3.03,4.49
4,3.8,-0.43
5,8.37,-14.07
6,6.71,16.95
7,-2.29,12.45
8,-0.64,7.69
9,2.42,5.46
10,7.6,8.56
11,6.3,2.13
12,-7.33,4.02
13,5.98,-2.96
14,0.82,14.05
15,2.57,3.86
16,5.38,3.48
17,2.99,5.02
18,4.45,12.3
19,4.52,6.4
20,3.47,1.1
21,4.76,37.81
22,27.58,-17.47
23,-18.38,12.63
24,1.11,5.96
25,-0.87,1.64
26,1.45,-34.41
27,19.82,30.49
28,-20.16,8.8
29,1.33,4.42
30,1.21,2.07
31,-1.98,6.07
32,5.5,4.77
33,1.15,8.27
34,5.17,7
35,2.71,2.39
36,1.15,6.93
37,1.81,10.37
38,4.05,7.46
39,5.42,5.07
40,8.16,2.66
41,0.37,-0.4
42,4.41,-2.54
43,6.03,1.49
44,4.66,2.38
45,2.39,8.05
46,7.22,0.79
47,9.33,11.42
48,-0.16,14.72
49,4.66,8.45
50,7.89,10.86
51,-14.94,30.39
52,11.03,31.85
1,-1.81,
2,14.08,
3,13.04,
4,13.2,
5,5.94,
6,5.04,
7,14.34,
8,18.01,
9,-0.75,
10,3.14,
11,2.19,
12,15.8,
13,0.9,
14,10.68,
15,11.74,
16,3.78,
17,-8.53,
18,-42.6,
19,0.19,
20,-3.71,
21,-0.32,
22,-3.9,
23,10.35,
24,12.5,
25,13.52,
26,7.59,
27,6.59,
28,1.04,
29,2.74,
30,4.67,
31,6.06,
32,0.77,
33,6.67,
34,-1.43,
35,-2.82,
36,-2.37,
37,0.67,
38,2.79,
39,-3.42,
40,-11.83,
41,3.56,
42,-4.15,
43,-4,
44,-0.67,
45,-0.76,
46,-12.53,
47,9.01,
48,3.34,
49,-0.75,
50,-3.39,
51,25.54,
52,33.64,
1,8.74,
2,8.74,
3,5.06,
4,-4.85,
5,23.6,
6,-8.7,
7,-7.01,
8,-7.6,
9,9.17,
10,-1.7,
11,-2.45,
12,-1.46,
13,-0.58,
14,-9.31,
15,0.18,
16,4.05,
17,-2.98,
18,4.71,
19,-1.51,
20,-4.26,
21,-18.73,
22,-9.99,
23,27.01,
24,-30.78,
25,13.96,
26,18.48,
27,-32.54,
28,40.61,
29,10.3,
30,2.57,
31,7.12,
32,6.58,
33,6.37,
34,6.22,
35,6.36,
36,-1.28,
37,48.71,
38,-6.3,
39,-16.15,
40,18.86,
41,-12.56,
42,-6.7,
43,9.9,
44,11.69,
45,20.34,
46,-1.51,
47,22.17,
48,6.07,
49,7.47,
50,7.97,
51,28.9,
52,-60.42,
1,-57.51,
2,18.1,
3,2.59,
4,-4.86,
5,1.56,
6,9.1,
7,4.7,
8,3.08,
9,4.63,
10,2.84,
11,4.34,
12,4.58,
13,11.2,
14,15.06,
15,3.87,
16,3.08,
17,1.46,
18,3.15,
19,4.56,
20,5.64,
21,29.2,
22,-5.07,
23,3.36,
24,50.04,
25,-7.3,
26,-9.77,
27,51.19,
28,-23.01,
29,-3.88,
30,5.64,
31,0.34,
32,-0.14,
33,3.89,
34,4.66,
35,1.93,
36,7.81,
37,-0.19,
38,1.09,
39,25.36,
40,-10.41,
41,19.91,
42,15.22,
43,-5.98,
44,-3.2,
45,-1.47,
46,3.89,
47,-4.51,
48,-0.95,
49,4.66,
50,5.39,
51,3.9,
52,3.58,
1,3.58,
2,8.74,
3,-21.04,
4,-2.75,
5,23.75,
6,4.89,
7,3.82,
8,-6.69,
9,14.84,
10,-0.05,
11,-0.86,
12,2.23,
13,2,
14,-1.96,
15,-8.37,
16,1.16,
17,3.84,
18,7.81,
19,-6.04,
20,0.3,
21,6.15,
22,-15.55,
23,32.67,
24,-0.41,
25,1.89,
26,4.89,
27,1.29,
28,-7.24,
29,23.98,
30,7.74,
31,7.28,
32,3.26,
33,6.31,
34,4.26,
35,3.16,
36,4.64,
37,5.28,
38,1.93,
39,6.2,
40,5.53,
41,4.05,
42,-5.98,
43,27.22,
44,8.74,
45,-0.71,
46,-0.77,
47,14.94,
48,-21.35,
49,21.63,
50,17.95,
51,5.51,
52,-17.06,
53,-51.24,
1,-18.71,
2,34.46,
3,-14.59,
4,17.75,
5,36.29,
6,-6,
7,8.64,
8,-0.9,
9,10.2,
10,8.99,
11,11.22,
12,5,
13,18.56,
14,8.1,
15,8.09,
16,4.39,
17,7.11,
18,6.41,
19,10,
20,11.76,
21,2.79,
22,7.71,
23,9.29,
24,6.95,
25,11.26,
26,80.48,
27,-21.86,
28,10.27,
29,13.01,
30,9.54,
31,9.04,
32,8.58,
33,11.73,
34,4.48,
35,9.35,
36,2.33,
37,-2.61,
38,3.29,
39,5.14,
40,0.59,
41,14.04,
42,12.37,
43,16.34,
44,15.53,
45,15.55,
46,9.92,
47,7.48,
48,6.55,
49,10.89,
50,7.86,
51,13.16,
52,-49.33,
1,26.21,
2,12.14,
3,10.08,
4,4.8,
5,8.81,
6,12.05,
7,11.2,
8,8.27,
9,9.71,
10,8.74,
11,13.49,
12,13.74,
13,8.52,
14,4.61,
15,10.54,
16,9.7,
17,13.16,
18,14,
19,10.65,
20,16.9,
21,8.65,
22,14.31,
23,5.51,
24,14.43,
25,13.48,
26,10.36,
27,13.85,
28,7.94,
29,2.68,
30,11.6,
31,14.41,
32,10.6,
33,6.69,
34,11.69,
35,5.75,
36,19.08,
37,14.11,
38,6.69,
39,8.39,
40,12.99,
41,3.96,
42,-1.84,
43,4.63,
44,4.87,
45,-6.61,
46,1.37,
47,10.46,
48,7.37,
49,-8.15,
50,4.05,
51,7.64,
52,8.39,
1,-37.78,
2,1.73,
3,9.36,
4,-11.67,
5,-1.19,
6,3.26,
7,11.17,
8,2.31,
9,2.75,
10,-1.57,
11,-0.35,
12,9.05,
13,9.08,
14,14.53,
15,1.68,
16,0.51,
17,-7.71,
18,0.27,
19,-1.92,
20,-4.31,
21,-0.5,
22,-3.49,
23,-0.33,
24,-4.54,
25,-3.36,
26,-2.17,
27,-6.53,
28,-5.05,
29,2.29,
30,-6.53,
31,-6.31,
32,-1.71,
33,-1.71,
34,2.61,
35,-0.38,
36,-6.23,
37,-0.36,
38,4.12,
39,1.99,
40,5.39,
41,12.7,
42,-4.61,
43,0.92,
44,1.88,
45,8.95,
46,-0.21,
47,27.61,
48,-20.33,
49,-3.15,
50,-0.9,
51,0.77,
52,39.74,
