Week,Election_Diff
1,-22.48
2,89.18
3,-19.01
4,17.27
5,-12.19
6,-1.17
7,-1.21
8,1.8
9,12.84
10,-0.92
11,-10.27
12,-1.93
13,-3.94
14,-3.16
15,2.45
16,5.18
17,0.61
18,-5.97
19,-2.23
20,-0.22
21,-1.08
22,-5.23
23,1.48
24,-6.27
25,-4.98
26,-5.82
27,-20.7
28,-0.92
29,-3.25
30,-6.02
31,1.5
32,-9.77
33,13.8
34,-1.24
35,-3.76
36,-5.77
37,10.32
38,-2.39
39,-22.87
40,-12.45
41,-15.34
42,4.29
43,-24.18
44,-10.04
45,-10.82
46,-11.45
47,-3.63
48,31.56
49,-36.08
50,-12.4
51,-8.64
52,-16.34
1,-87.57
2,-20.15
3,12.61
4,2.93
5,-22.06
6,2.97
7,5.56
8,-1.08
9,0.29
10,2.99
11,3.61
12,3.92
13,-0.54
14,0.34
15,-0.19
16,-2.36
17,15.89
18,74.64
19,5.33
20,7.79
21,1.59
22,2.88
23,-7.02
24,-7.15
25,-8.22
26,-2.14
27,-0.98
28,0.34
29,-4.75
30,-2.77
31,-2.66
32,-1.88
33,-3.81
34,-1.08
35,0.13
36,-17.77
37,-7.34
38,11.18
39,3.81
40,12.64
41,-0.46
42,1.48
43,0.19
44,-0.55
45,-9.19
46,11.15
47,-21.86
48,6.89
49,-11.79
50,-7.77
51,-21.73
52,92.41
1,2.38
2,4.26
3,4.49
4,-0.43
5,-14.07
6,16.95
7,12.45
8,7.69
9,5.46
10,8.56
11,2.13
12,4.02
13,-2.96
14,14.05
15,3.86
16,3.48
17,5.02
18,12.3
19,6.4
20,1.1
21,37.81
22,-17.47
23,12.63
24,5.96
25,1.64
26,-34.41
27,30.49
28,8.8
29,4.42
30,2.07
31,6.07
32,4.77
33,8.27
34,7
35,2.39
36,6.93
37,10.37
38,7.46
39,5.07
40,2.66
41,-0.4
42,-2.54
43,1.49
44,2.38
45,8.05
46,0.79
47,11.42
48,14.72
49,8.45
50,10.86
51,30.39
52,31.85
